"","Label","Synonyms","MeSH Frequency"
"2782","Peritonsillar Abscess","Peritonsillar Abscesses|Abscess, Peritonsillar|Abscesses, Peritonsillar",NA
"2783","sanfetrinem","GV-118819X|GV118819X|GV 118819X",19
"2784","tomatidine","(3 beta,5 alpha,22 beta, 25S)-spirosolan-3-ol|tomatidine, (3beta,5alpha,22alpha,25R)-isomer|5 alpha,20 beta(F),22 alpha(F),25 beta(F),27- azaspirostan-3 beta-ol",46
"2785","Clearfil Ray Posterior",NA,10
"2786","North Carolina",NA,NA
"2787","Spinal Osteochondrosis","Spine Osteochondrosis|Osteochondrosis of Spine|Osteochondrosis, Spinal|Spine Osteochondroses|Osteochondroses, Spinal|Spinal Osteochondroses",NA
"2788","Lactation Disorders","Disorder, Lactation|Hypogalactia|Hypogalactias|Lactation Disorder|Disorders, Lactation",NA
"2789","pleurotin",NA,5
"2790","Advance cement",NA,18
"2791","Abductin",NA,6
"2792","lathyrane",NA,13
"2793","School Admission Criteria","Student Selection|Selection, Student|Student Selections|Criteria, School Admission|Admission Criteria, School|Selections, Student",NA
"2794","Bronchial Hyperreactivity","Hyperreactivities, Bronchial|Hyperreactivity, Bronchial|Bronchial Hyperreactivities",NA
"2795","squamosamide","FLZ compound|Benzeneacetamide, 4-hydroxy-alpha-((4-hydroxy-3-methoxyphenyl)methylene)-N-(2-(4-hydroxyphenyl)ethyl)-3,5-dimethoxy-, (E)-",30
"2796","Withanolides",NA,NA
"2797","diguanosine pentaphosphate","GPPPPPG",4
"2798","iclaprim","AR 100|AR-100",28
"2799","di-n-butylphosphoric acid","di-n-butylphosphoric acid, vanadium salt|di-n-butylphosphoric acid, potassium salt|dibutylphosphoric acid|di-n-butylphosphoric acid, sodium salt|dibutyl phosphate|di-n-butylphosphoric acid, ammonium salt",10
"2800","Blind Loop Syndrome","Loop Syndromes, Stagnant|Bacterial Overgrowth Syndrome|Syndrome, Stagnant Loop|Stagnant Loop Syndromes|Stagnant Loop Syndrome|Syndrome, Blind Loop|Loop Syndrome, Stagnant|Syndrome, Bacterial Overgrowth|Syndromes, Stagnant Loop",NA
"2801","Viso-Fil","Visio-Fill",7
"2802","dicloran","2,6-dichloro-4-nitroaniline|2,6-dichlor-4-nitroaniline|DCNA|alizan|Botran|dichloran",30
"2803","Vascular Headaches","Cephalgias, Vascular|Cephalgia, Vascular|Headache, Vascular|Headaches, Vascular|Vascular Cephalgia|Vascular Cephalgias|Vascular Headache",NA
"2804","Hydroxyindoleacetic Acid","5-Hydroxyindolamine Acetic Acid|5 Hydroxy 3 Indoleacetic Acid|5 Hydroxyindolamine Acetic Acid|5-HIAA|Acid, Hydroxyindoleacetic|1H-Indole-3-acetic acid, 5-hydroxy-|Acid, 5-Hydroxyindolamine Acetic|Acid, 5-Hydroxy-3-Indoleacetic|Acetic Acid, 5-Hydroxyindolamine|5-Hydroxy-3-Indoleacetic Acid",NA
"2805","oxindole",NA,442
"2806","Endosulfan","beta Endosulfan|Thiotox|Thiodan|alpha Endosulfan|beta-Endosulfan|6,9-Methano-2,4,3-benzodioxathiepin, 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-, 3-oxide|Thiodon|alpha-Endosulfan",NA
"2807","Chemotactic Factors","Chemotaxins|Cytotaxinogens|Chemoattractants|Chemotactic Factors, Macrophage|Cytotaxins|Macrophage Chemotactic Factors",NA
"2808","Citrullinemia","Deficiency Disease, Argininosuccinate Synthase|Type 1, Citrullinemia|Deficiencies, ASS|ASS Deficiency|Citrullinemias, Late-Onset|Citrullinemias, Classic|Late-Onset Citrullinemias|Citrullinemias|ASS Deficiencies|Deficiency, Argininosuccinate Synthetase|Argininosuccinate Synthetase Deficiencies|Citrullinemias, Neonatal|Partial Argininosuccinic Acid Synthetase Deficiency Disease|Citrullinemia 1|Citrullinemia, Late Onset|Complete Argininosuccinic Acid Synthetase Deficiency Disease|Classical Citrullinemia|Argininosuccinic Acid Synthetase Deficiency|Citrullinemia, Classical|Citrullinemia, Type I|Citrullinemia, Classic|Citrullinemia, Neonatal|Citrullinuria|Argininosuccinic Acid Synthetase Deficiency, Complete|Classic Citrullinemia|Argininosuccinate Synthetase Deficiency|Citrullinurias|Argininosuccinic Acid Synthetase Deficiency Disease|Classical Citrullinemias|Argininosuccinate Synthase Deficiency Disease|Citrullinemias, Classical|Neonatal Citrullinemias|Deficiency, Argininosuccinic Acid Synthetase, Complete|Citrullinemia, Late-Onset|Late-Onset Citrullinemia|Deficiencies, Argininosuccinate Synthetase|Citrullinemia Type 1|Deficiency Disease, Argininosuccinic Acid Synthase|Argininosuccinic Acid Synthase Deficiency Disease|Deficiency, Argininosuccinic Acid Synthetase, Partial|Neonatal Citrullinemia|Classic Citrullinemias|Deficiency, ASS|Argininosuccinic Acid Synthetase Deficiency Disease, Partial",NA
"2809","Amish",NA,NA
"2810","Myxomatosis, Infectious","Myxomatoses, Infectious|Infectious Myxomatoses|Infectious Myxomatosis",NA
"2811","Aminopyrine","Berlin-Chemie Brand of Aminophenazone|Dimethylaminophenazone|Berlin Chemie Brand of Aminophenazone|Aminophenazone|Dimethyl N aminoantipyrine|Amidophen|Dimethylaminoantipyrine|Aminofenazone|Aminophenazone Berlin-Chemie Brand|Amidazophen|Eufibron|Amidophenazon|Amidopyrine|Dimethyl-N-aminoantipyrine|3H-Pyrazol-3-one, 4-(dimethylamino)-1,2-dihydro-1,5-dimethyl-2-phenyl-|Dipyrine",NA
"2812","Biologically Active Substance",NA,NA
"2813","felbamate","ADD-03055|Taloxa|(3-carbamoyloxy-2-phenyl-propyl) carbamate|2-phenyl-1,3-propanediol dicarbamate|Felbatol|W-554|Wallace brand 2 of felbamate|Felbamyl|Wallace brand 1 of felbamate",390
"2814","Agricultural Inoculants","Inoculant, Agricultural|Inoculants, Microbial|Inoculant, Microbial|Inoculant, Bacterial|Agricultural Inoculant|Microbial Inoculant|Inoculants, Agricultural|Inoculants, Bacterial|Bacterial Inoculants|Fungal Inoculants|Inoculant, Fungal|Fungal Inoculant|Microbial Inoculants|Inoculants, Fungal|Bacterial Inoculant",NA
"2815","butacaine","3-(dibutylamino)propyl 4-aminobenzoate|butocain|Butaprobenz|butacaine sulfate",14
"2816","Sex Reassignment Procedures","Gender Change Procedure|Procedures, Gender Reassignment|Gender Reassignment Procedure|Procedure, Sex Change|Sex Change Procedure|Procedure, Gender Reassignment|Procedures, Sex Change|Procedure, Sex Reassignment|Sex Change Procedures|Procedures, Gender Change|Gender Change Procedures|Sex Reassignment Procedure|Procedures, Sex Reassignment|Gender Reassignment Procedures|Procedure, Gender Change",NA
"2817","Insurance, Life","Insurances, Life|Life Insurances|Life Insurance",NA
"2818","lixazinone","RS-82856|lixazinone sulfate|RS 82856|Butanamide, N-cyclohexyl-N-methyl-4-((1,2,3,5-tetrahydro-2-oxoimidazo(2,1-b)quinazolin-7-yl)oxy)-|N-cyclohexyl-N-methyl-4-(7-oxy-1,2,3,5-tetrahydroimidazo(2,1-b)quinazolin-2-one)butyramide",12
"2819","Replicon","Replication Unit|Unit, Replication|Replicons|Units, Replication|Replication Units",NA
"2820","Galliformes","Galliforme",NA
"2821","stevioside",NA,224
"2822","Psychrobacter",NA,NA
"2823","Vestibular Nerve","Ganglion, Scarpa's|Nerves, Vestibular|Nerve, Vestibular|Scarpas Ganglion|Scarpa Ganglion|Scarpa's Ganglion|Vestibular Nerves",NA
"2824","columbamine",NA,17
"2825","Dust","Dust, House|Housedust|House Dust",NA
"2826","diethyl ketone","diethylketone|diethyl ketone, 3-(14)C-labeled cpd",9
"2827","bismuth oxychloride",NA,22
"2828","aureothricin","propionopyrrothine",6
"2829","Hemorrhagic Disorders","Diathesis, Hemorrhagic|Hemorrhagic Diatheses|Hemorrhagic Diathesis|Disorder, Hemorrhagic|Diatheses, Hemorrhagic|Hemorrhagic Disorder|Disorders, Hemorrhagic",NA
"2830","Artificial Limbs","Artificial Limb|Arm Prosthesis|Prostheses, Leg|Arms, Artificial|Extremity, Artificial|Extremities, Artificial|Artificial Extremities|Prostheses, Arm|Limb, Artificial|Leg Prostheses|Prosthesis, Arm|Artificial Extremity|Artificial Leg|Artificial Arms|Arm, Artificial|Leg Prosthesis|Artificial Arm|Leg, Artificial|Limb Prostheses|Prosthesis, Limb|Arm Prostheses|Artificial Legs|Limbs, Artificial|Legs, Artificial|Prosthesis, Leg|Limb Prosthesis|Prostheses, Limb",NA
"2831","collagen-related peptide",NA,64
"2832","Gosyuyu","Wu-Chu-Yu",7
"2833","Dentition, Mixed","Dentition, Transitional|Dentitions, Transitional|Dentitions, Mixed|Mixed Dentitions|Transitional Dentition|Mixed Dentition|Transitional Dentitions",NA
"2834","melanoidin polymers","melanoidins",188
"2835","dipropyl sulfoxide",NA,4
"2836","magaldrate","Ern brand of magaldrate|magaldrat von ct|Bemolan|Simaphil|Madaus brand of magaldrate|Glysan|Minoton|ratiopharm brand of magaldrate|Magaldrat Heumann|Magastron|Philopharm brand of magaldrate|Eurim brand of magaldrate|Hevert-Mag|Asche brand of magaldrate|Rugby brand of magaldrate|Gastromol|1A brand of magaldrate|Altana Pharma brand of magaldrate|betapharm brand of magaldrate|Gastrostad|Heumann brand of magaldrate|Riemser brand of magaldrate|Magaldrat-ratiopharm|Byk brand of magaldrate|Lichtenstein brand of magaldrate|ct-Arzneimittel brand of magaldrate|Lowsium|Prowohl|moalium hydrate|Whitehall-Robbins brand of magaldrate|Merckle brand of magaldrate|Gastripan|Aluminum magnesium hydroxide, monohydrate|Hevert brand of magaldrate|Stada brand of magaldrate|Magion|magnesium aluminate hydrate|Magmed|Magaldrat beta|Marax|Riopan|hydrated magnesium aluminum gel",52
"2837","tRNase Z, human","tRNase Z(S), human|tRNase Z(L), human",14
"2838","iron polyisomaltosate",NA,5
"2839","acridine mustard","ICR-170|ICR 170",32
"2840","Calendars as Topic","Calendars as Topics",NA
"2841","decabromodiphenyl ethane","DeBDethane",52
"2842","mycoside B","2-O-methyl-alpha-rhammosyldiacylphenol-phthiocerol",7
"2843","dimethylcyanamide",NA,4
"2844","marbofloxacin","Marbocyl|Marbocyl FD|Selecta brand of marbofloxacin|Vetoquinol brand of marbofloxacin",167
"2845","JC Virus","Polyomavirus hominis 2|Polyomavirus JC, Human|JC polyomavirus|Polyomavirus, JC|John Cunningham Virus|Human Polyomavirus JC|Virus, John Cunningham",NA
"2846","spore germination protease","germination protease, Bacillus",7
"2847","dipipanone","dipipanone hydrochloride, (+-)-isomer|dipipanone hydrochloride|4,4-diphenyl-6-piperidino-3-heptanone",22
"2848","beta-citrylglutamic acid","Pentanedioic acid, 3-(((1,3-dicarboxypropyl)amino)carbonyl)-3-hydroxy-|beta-citrylglutamic acid, (S)-isomer|beta-citryl-L-glutamic acid|beta-citryl-L-glutamate",11
"2849","Egg Shell","Shells, Egg|Eggshells|Egg Shells|Eggshell|Shell, Egg",NA
"2850","Nursing Education Research","Education Research, Nursing|Nursing Research, Educational|Nursing Education Researchs|Educational Nursing Researchs|Nursing Researchs, Educational|Research, Nursing Education|Researchs, Nursing Education|Educational Nursing Research|Researchs, Educational Nursing|Education Researchs, Nursing|Research, Educational Nursing",NA
"2851","plastin","I-plastin|plastin 3 (T isoform) protein, rat|YDR129C protein, S cerevisiae|plastin 3 (T-isoform) protein, mouse|Pls3 protein, rat|fimbrin protein, S pombe|I-PLASTIN protein, human|PLS1 protein, human|Plastin 3 protein, human|fim1 protein, S pombe|Pls1 protein, mouse|SAC6 protein, S cerevisiae|protein p219|Pls3 protein, mouse|ABP67 protein, S cerevisiae|T-plastin|I-fimbrin protein, mouse|PLS3 protein, human|SPBC1778.06c protein, S pombe|L-plastin|fimbrin|plastin 1 (I isoform) protein, human|T-fimbrin protein, mouse|plastin 1 (I-isoform) protein, mouse",321
"2852","Brachyspira","Serpulina innocens|Serpula innocens|Serpulina|Brachyspira innocens|Treponema innocens",NA
"2853","thaliporphine","thaliporphine hydrochloride",11
"2854","cembrene A","1,5,9-trimethyl-12-(1-methylethenyl)-1,5,9-cyclotetradecatriene",5
"2855","Filing","Filings",NA
"2856","Cranial Nerve Diseases","Cranial Neuropathies, Multiple|Nervus Cranialis Disorder|Cranial Neuropathy, Multiple|Cranial Nerve Disorder|Neuropathies, Cranial|Nervus Cranialis Disorders|Cranial Neuropathy|Cranial Nerve Disease|Multiple Cranial Neuropathy|Palsy, Cranial Nerve|Palsies, Cranial Nerve|Multiple Cranial Neuropathies|Cranial Nerve Palsy|Cranial Nerve Disorders|Cranial Nerve Palsies|Cranial Neuropathies|Neuropathies, Multiple Cranial|Neuropathy, Cranial|Neuropathy, Multiple Cranial",NA
"2857","norbormide","norbormide, (3aalpha,4alpha,5(R*),7alpha,7aalpha,8Z)-(+-)-isomer|norbormide, (3aalpha,4beta,5(S*),7beta,7aalpha,8Z)-(+-)-isomer|5-(alpha-hydroxy-alpha-2-pyridylbenzyl)-7- (alpha-2-pyridylbenzylidene)-5-norbornene-2,3- dicarboximide|EHT 51762|Raticate|norbormide, (3aalpha,4alpha,5(S*),7alpha,7aalpha,8E)-(+-)-isomer|McN 1025|C 6999|norbormide, (3aalpha,4alpha,5(S*),7alpha,7aalpha,8Z)-(+-)-isomer|norbormide, (3aalpha,4beta,5(R*),7beta,7aalpha,8E)-(+-)-isomer|norbormide, (3aalpha,4alpha,5(R*),7alpha,7aalpha,8E)-(+-)-isomer|norbormide, (8Z)-isomer|norbormide monohydrochloride|Shoxin|norbormide, (3aalpha,4beta,5(S*),7beta,7aalpha,8E)-(+-)-isomer",20
"2858","methyl rocaglate",NA,4
"2859","Finland","Ã…land Islands|Aland Islands",NA
"2860","Actinic Prurigo","Polymorphic Light Eruption, Hereditary",11
"2861","DNA Footprinting","Footprint, DNA|DNA Footprintings|DNA Footprints|DNA Footprint|Footprinting, DNA|Footprintings, DNA|Footprints, DNA",NA
"2862","Staphylococcus epidermidis",NA,NA
"2863","dithiothreitol tetraacetate","DTT-Ac|dithiothreitol tetraacetate, (R*,R*)-isomer",13
"2864","qianggan",NA,5
"2865","Thermoplasmales","Picrophilus|Thermoplasmatales",NA
"2866","Thinness","Leanness|Underweight",NA
"2867","locustamyotropin","Gly-Ala-Val-Pro-Ala-Ala-Gln-Phe-Ser-Pro-Arg-Leu-NH2|Locustamyotropin|Lom-MT",4
"2868","Peptide Biosynthesis","Biosynthesis, Peptide",NA
"2869","dimethyl disulfide","dimethyldisulfide|methyl disulfide",164
"2870","etryptamine","alpha-ethyltryptamine|etryptamine monoacetate|etryptamine acetate, (+-)-isomer of etryptamine|etryptamine monoacetate, (-)-isomer|2-ethyltryptamine|etryptamine monoacetate, (+-)-isomer|etryptamine monoacetate, (+)-isomer|etryptamine hydrochloride|3-(2-aminobutylindole)|etryptamine, (+)-isomer",52
"2871","Johanson Blizzard syndrome","Ectodermal Dysplasia-Exocrine Pancreatic Insufficiency|Nasal Alar Hypoplasia, Hypothyroidism, Pancreatic Achylia, Congenital Deafness|Malabsorption-Ectodermal Dysplasia-Nasal Alar Hypoplasia|Nasal Alar Hypoplasia, Hypothyroidism, Pancreatic Achylia, and Congenital Deafness|Johanson-Blizzard Syndrome",17
"2872","Triterpenes",NA,NA
"2873","cocoa butter","cocoa butter, sodium salt",122
"2874","Melorheostosis","Melorheostosis of Leri|Melorheostoses",NA
"2875","lofexidine","lofexidine, (+-)-isomer|1H-imidazole, 2-(1-(2,6-dichlorophenoxy)ethyl)-4,5-dihydro-|lofexidine monohydrochloride|Lofexidine mono-hydrochloride|BritLofex|lofexidine hydrochloride|2-(alpha-(2,6-dichlorophenoxy)ethyl) delta-2-imidazoline",116
"2876","Genes, abl","c-abl Gene|Gene, v-abl|Proto-Oncogenes, c-abl|bcr-abl Proto-Oncogenes|Oncogene, abl|c abl Proto Oncogenes|c-abl Proto-Oncogenes|bcr-abl Proto-Oncogene|c abl Genes|Proto-Oncogene, c-abl|bcr v abl Oncogenes|Oncogenes, bcr-v-abl|bcr-v-abl Oncogene|Oncogenes, v-abl|v-abl Oncogenes|c-abl Proto-Oncogene|v abl Oncogenes|Gene, abl|Gene, c-abl|Genes, v-abl|Proto-Oncogene, bcr-abl|bcr abl Proto Oncogenes|v-abl Genes|Genes, c-abl|v-abl Oncogene|v abl Genes|v-abl Gene|Proto-Oncogenes, bcr-abl|Oncogene, v-abl|abl Oncogene|c-abl Genes|abl Genes|Oncogenes, abl|bcr-v-abl Oncogenes|abl Gene|abl Oncogenes|Oncogene, bcr-v-abl",NA
"2877","Electrophoresis, Starch Gel","Starch Gel Electrophoresis",NA
"2878","coriphosphine","coriphosphine monohydrochloride|N6,N6,2-trimethyl-3,6-acridinediamine.HCl",4
"2879","Carbon-Sulfur Lyases","Lyases, Carbon-Sulfur|Carbon Sulfur Lyases|Sulfhydrases",NA
"2880","methionylpuromycin","Adenosine, 3'-deoxy-3'-((N-L-methionyl-O-methyl-L-tyrosyl)amino)-N,N-dimethyl-|Met-Pur",11
"2881","Vaccines, Conjugate","Conjugate Vaccines",NA
"2882","adibendan","Pyrrolo(2,3-f)benzimidazol-6(1H)-one, 5,7-dihydro-7,7-dimethyl-2-(4-pyridinyl)-|BM 14478|BM 14.478|BM-14478|7,7-dimethyl-2-(4-pyridyl)-6,7-dihydro-3H,5H pyrrolo (2,3-f)benz-imidazol-6-one",17
"2883","Pseudopregnancy","Pseudopregnancies|Pseudocyesis",NA
"2884","Nurses, Pediatric","Nurse, Pediatric|Pediatric Nurse|Pediatric Nurses",NA
"2885","Endolymphatic Hydrops","Hydrops, Endolymphatic",NA
"2886","gou-teng","daio-teng",5
"2887","nodulisporic acid A","nodulisporic acid-A",21
"2888","Tars",NA,NA
"2889","Glomerular Mesangium","Matrices, Mesangial Extracellular|Extracellular Matrices, Mesangial|Mesangial Extracellular Matrices|Matrix, Mesangial Extracellular|Glomerular Mesangiums|Extracellular Matrix, Mesangial|Mesangium, Glomerular|Mesangial Extracellular Matrix|Mesangiums, Glomerular",NA
"2890","Byssinosis","Brown Lung Diseases|Byssinoses|Brown Lung|Brown Lung Disease|Brown Lungs",NA
"2891","Extreme Environments","Environment, Extreme|Environments, Extreme|Extreme Environment",NA
"2892","GABAergic Neurons","Neuron, GABAergic|Cell, GABA|GABA Cells|Neurons, GABA|Cells, GABA|GABA Cell|Neurons, GABAergic|GABA Neuron|GABAergic Neuron|GABA Neurons|Neuron, GABA",NA
"2893","Lecithins","Lecithin",NA
"2894","Thoracoscopes","Thoracoscope|Pleuroscopes|Pleuroscope",NA
"2895","Optic Atrophies, Hereditary","Atrophies, Hereditary Optic|Atrophy, Hereditary Optic|Optic Atrophy, Hereditary|Hereditary Optic Atrophies|Hereditary Optic Atrophy",NA
"2896","mildiomycin",NA,9
"2897","Magnetic Phenomena","Magnetic Phenomenon|Phenomenon, Magnetic|Phenomena, Magnetic",NA
"2898","Immunization Programs","Vaccination Awarenesses|Vaccination Campaign|Vaccination Promotions|Awareness, Vaccination|Vaccination Awareness|Vaccination Campaigns|Immunization Program|Promotions, Vaccination|Promotion, Vaccination|Campaign, Vaccination|Program, Immunization|Programs, Immunization|Vaccination Promotion|Awarenesses, Vaccination|Campaigns, Vaccination",NA
"2899","inosine dialdehyde","diglycolaldehyde|inox|alpha-(hydroxymethyl)-alpha'-(6-hydroxy-9H-purin-9-yl) diglycolaldehyde|NSC-118,994|NSC-118994",13
"2900","oleuropein",NA,266
"2901","Hearing Loss, Functional","Hearing Loss, Nonorganic|Hearing Loss, Psychogenic|Functional Hearing Loss|Psychogenic Hearing Loss|Nonorganic Hearing Loss",NA
"2902","Eryngium","Sea Hollies|Sea Holly|Eryngiums|Holly, Sea|Hollies, Sea",NA
"2903","Thermococcaceae",NA,NA
"2904","nevadensin","5,7-dihydroxy-6,8-dimethoxy-2-(4-methoxyphenyl)- 4H-1-benzopyran-4-one",20
"2905","arabinosyltransferase","Arabinoxylan arabinosyltransferase|arabinosyl transferase|arabinan arabinosyl transferase|alpha-1-3-arabinosyltransferase",67
"2906","Acarbose","Bay g 5421|Precose|Glucobay|Prandase|Glucor|D-glucose, O-4,6-dideoxy-4-(((1S-(1 alpha,4 alpha,5 beta,6 alpha))-4,5,6-trihydroxy-3-(hydroxymethyl)-2-cyclohexen-1-yl)amino)-alpha-D-glucopyranosyl-(1-4)-O-alpha-D-glucopyr anosyl-(1-4)-|Glumida",NA
"2907","Sella Turcica","Turcica, Sella|Sella Turcicas|Turcicas, Sella",NA
"2908","dipropyl sulfone","dipropyl sulfone, 35S-labeled",4
"2909","Selegiline","Emsam|Selegiline, (R)-Isomer|E 250|Eldepryl|Selegiline Hydrochloride|Selegiline, (R,S)-Isomer|E-250|Hydrochloride, Selegiline|Yumex|Selegiline Hydrochloride, (S)-Isomer|Selegiline Hydrochloride, (R)-Isomer|Deprenil|Deprenyl|Selegiline, (S)-Isomer|Selegiline Hydrochloride, (R,S)-Isomer|Humex|Zelapar|Deprenalin|Benzeneethanamine, N,alpha-dimethyl-N-2-propynyl-, (R)-|Jumex|E250|Selegyline|L-Deprenyl",NA
"2910","kinetin riboside","KR (kinetin riboside)|6-furfuryladenine riboside",9
"2911","tiglic acid","trans-2-methylcrotonic acid|tiglic acid, (E)-isomer|tiglic acid, (Z)-isomer",18
"2912","bococizumab",NA,4
"2913","Mycobacterium ulcerans","Mycobacterium buruli",NA
"2914","Crotoxin","Crotoxin B|Crotapotin|Crotoxin A",NA
"2915","alpha-methylfentanyl","alpha methyl fentanyl",5
"2916","Orobanche","Broom Rapes|Rape, Broom|Rapes, Broom|Broom Rape|Broomrapes|Broomrape|Orobanches",NA
"2917","Esophageal Stenosis","Stenoses, Esophageal|Stricture, Esophageal|Stenosis, Esophageal|Esophageal Stenoses|Esophageal Stricture",NA
"2918","manganese ferrite","MnFe2O4",32
"2919","fludelone","26-trifluoro-(E)-9,10-dehydro-12,13-desoxy-epothilone",5
"2920","isoamyl nitrite","isopentyl nitrite",16
"2921","amiflamine","FLA-336|amiflamin, (+)-isomer|FLA 336(+)|amiflamin, (-)-isomer|amiflamin dihydrochloride|amiflamin|4-dimethylamino-alpha,2-dimethylphenethylamine|FLA 336",35
"2922","Environmental Monitoring","Biologic Monitoring|Surveillance, Environmental|Bio-Monitoring|Environmental Surveillance|Bio Monitoring|Monitoring, Environmental|Monitoring, Biologic|Biomonitoring|Monitoring, Biological|Biological Monitoring",NA
"2923","bacillomycin D","Bacillomycin D",31
"2924","reduning",NA,9
"2925","Pyrococcus horikoshii",NA,NA
"2926","hemoglobin D","Hb D|haemoglobin D",131
"2927","Hospitals, Special","Special Hospital|Special Hospitals|Hospital, Special",NA
"2928","Ponds","Pond",NA
"2929","methylselenic acid","methaneseleninic acid|methylseleninic acid|methylseleninate|Methaneseleninic acid",114
"2930","PSTAIR peptide","PSTAIR|CDC2 peptide (42-57)",12
"2931","chitosan citrate",NA,7
"2932","benzoyl methyl phosphate","benzoylmethylphosphate",4
"2933","Pneumonia, Staphylococcal","Staphylococcal Pneumonia|Pneumonia, Staphylococcus Aureus|Pneumonias, Staphylococcal|Staphylococcal Pneumonias|Pneumonias, Staphylococcus Aureus|Staphylococcus Aureus Pneumonias|Staphylococcus Aureus Pneumonia",NA
"2934","Intertrigo",NA,NA
"2935","Acidulated Phosphate Fluoride","Acid Phosphate Fluoride|Phosphoric acid, mixt. with sodium fluoride (NaF)|Fluoride, Acid Phosphate|Fluoride, Acidulated Phosphate|Phosphate Fluoride, Acidulated",NA
"2936","Tetanus Toxoid","Vaccine, Tetanus|Tetanus Vaccine|Toxoid, Tetanus",NA
"2937","holothurin A",NA,14
"2938","diethyl sulfate","diethyl sulfate, tin salt|diethylsulfate|ethyl sulfate",175
"2939","Sick Building Syndrome","Syndrome, Sick Building|Sick House Syndrome|Syndromes, Sick House|Syndrome, Sick House",NA
"2940","Solanum tuberosum","tuberosums, Solanum|Solanum tuberosums|Potatoes|Potato|tuberosum, Solanum",NA
"2941","afzelin","deacyl-SL0101",16
"2942","Eye Infections, Viral","Viral Ocular Infection|Viral Ocular Infections|Ocular Infections, Viral|Infections, Viral Ocular|Infection, Viral Eye|Infections, Viral Eye|Viral Eye Infection|Ocular Infection, Viral|Eye Infection, Viral|Infection, Viral Ocular|Viral Eye Infections",NA
"2943","ecdysteroid receptor","receptor, ecdysteroid|ecdysterone receptor|SfEcR|20-hydroxyecdysone receptors|receptor, 20-hydroxyecdysone|ecdysteroid receptor, Drosophila|20-hydroxyecdysone receptor|ecdysteroid receptors|TnEcR",143
"2944","biphenylacetylene","diphenylacetylene",34
"2945","Folic Acid Deficiency","Acid Deficiency, Folic|Deficiency, Folic Acid|Folic Acid Deficiencies|Deficiencies, Folic Acid|Acid Deficiencies, Folic",NA
"2946","Bacillus coagulans","Lactobacillus sporogenes",NA
"2947","Haptophyta","Pavlova|Isochrysis|Prymnesiophyceae|Prymnesiophytes|Pleurochrysis|Haptophyceae|Emiliania|Haptophytes|Haptophyte|Coccolithophorid|Prymnesiophyte|Prymnesium|Phaeocystis|Coccolithophorids",NA
"2948","Dideoxynucleosides","2',3'-Dideoxynucleosides|Dideoxyribonucleosides|ddNus|2',3' Dideoxynucleosides",NA
"2949","deoxyaminopteroic acid","4-amino-4-deoxy-N-10-methylpteroic acid|4-deoxy-4-amino-N(10)-methylpteroic acid|N-10-methyl-4-deoxy-4-aminopteroate|4-amino-4-deoxy-N-10-methylpteroic acid hydrochloride (2:1)|4-(((2,4-diamino-6-pteridinyl)methyl)methylamino)benzoic acid|2,4-diamino-N(10)-methylpteroic acid",21
"2950","Selenic Acid","Potassium Selenate|Selenic Acid, Calcium Salt|Selenate, Monosodium|Selenate|Selenic Acid, Diammonium Salt|Selenic Acid, Potassium Salt|Selenate, Ammonium|Selenic Acid, Disodium Salt, 75Se-Labeled|Selenate, Sodium|Selenic Acid, Magnesium Salt|Magnesium Selenate|Disodium Selenate|Selenate, Disodium|Selenic Acid, Disodium Salt, Decahydrate|Selenic Acid, Monosodium Salt|Calcium Selenate|Selenate, Potassium|Selenate, Magnesium|Selenate, Calcium|Acid, Selenic|Ammonium Selenate|Selenic Acid, Ammonium Salt|Monosodium Selenate|Sodium Selenate",NA
"2951","Polydioxanone","Polydioxanones|PDS II (Ethicon)|Absolok|Absoloks|Poly(oxy(1-oxo-1,2-ethanediyl)oxy-1,2-ethanediyl)",NA
"2952","Ubiquitin-Specific Proteases","Ubiquitin Specific Proteases|Proteases, Ubiquitin-Specific",NA
"2953","theasaponine",NA,4
"2954","Mouth Abnormalities","Mouth Abnormality|Abnormalities, Mouth|Abnormality, Mouth",NA
"2955","Aleutian Mink Disease Virus","Aleutian Disease Virus|Aleutian Mink Disease Parvovirus",NA
"2956","potassium perchlorate","Perchloracap",168
"2957","Iridocyclitis","Cyclitis, Heterochromic|Iridocyclitides|Cyclitides, Heterochromic|Heterochromic Cyclitides|Heterochromic Cyclitis",NA
"2958","Glucans","Glucan (BO)|Polycose|Polyglucoses|Polymer, Glucose|Glucose Polymer",NA
"2959","Neuropilins","Neuropilin",NA
"2960","Taraxacum","Dandelions|Dandelion|Taraxacum officinale",NA
